GRID_ID.1,STARTweek_stravaDATE_cast,GRID_ID,ENDweek_stravaDATE_cast,SUM_total_trip_count,EcoCntr_weekly_SUM,MAX_slopePct,STARTweek_Time,HEXid_weekID,HEXid_WeekID,ENDweek_Time,week_id,week_start
BC-12,2022-02-07,BC-12,2022-02-13 23:59:00,3420.0,1427,,2022-02-07,BC-12_162,BC-12_162,2022-02-13 23:59:00,BC-12_162,2022-02-07
BQ-25,2022-04-18,BQ-25,2022-04-24 23:59:00,3735.0,1032,,2022-04-18,BQ-25_172,BQ-25_172,2022-04-24 23:59:00,BQ-25_172,2022-04-18
BT-26,2023-07-31,BT-26,2023-08-06 23:59:00,600.0,5274,,2023-07-31,BT-26_239,BT-26_239,2023-08-06 23:59:00,BT-26_239,2023-07-31
BT-26,2022-05-02,BT-26,2022-05-08 23:59:00,385.0,3721,,2022-05-02,BT-26_174,BT-26_174,2022-05-08 23:59:00,BT-26_174,2022-05-02
BL-36,2019-04-01,BL-36,2019-04-07 23:59:00,2115.0,1368,,2019-04-01,BL-36_13,BL-36_13,2019-04-07 23:59:00,BL-36_13,2019-04-01
BC-12,2022-06-27,BC-12,2022-07-03 23:59:00,3095.0,201,,2022-06-27,BC-12_182,BC-12_182,2022-07-03 23:59:00,BC-12_182,2022-06-27
BH-26,2019-10-14,BH-26,2019-10-20 23:59:00,3305.0,968,,2019-10-14,BH-26_41,BH-26_41,2019-10-20 23:59:00,BH-26_41,2019-10-14
BH-26,2022-03-28,BH-26,2022-04-03 23:59:00,3335.0,849,,2022-03-28,BH-26_169,BH-26_169,2022-04-03 23:59:00,BH-26_169,2022-03-28
BE-19,2022-10-24,BE-19,2022-10-30 23:59:00,11250.0,3683,,2022-10-24,BE-19_199,BE-19_199,2022-10-30 23:59:00,BE-19_199,2022-10-24
BK-32,2023-09-18,BK-32,2023-09-24 23:59:00,2350.0,4691,,2023-09-18,BK-32_246,BK-32_246,2023-09-24 23:59:00,BK-32_246,2023-09-18
